"ID"	"State"	"InitialState"
"TCGA.3L.AA1B.01A"	"S01"	"IS06"
"TCGA.A6.2684.01A"	"S01"	"IS06"
"TCGA.A6.3809.01A"	"S01"	"IS06"
"TCGA.A6.3810.01A"	"S01"	"IS06"
"TCGA.A6.6781.01A"	"S01"	"IS06"
"TCGA.A6.A56B.01A"	"S01"	"IS06"
"TCGA.AA.3555.01A"	"S01"	"IS06"
"TCGA.AA.3821.01A"	"S01"	"IS06"
"TCGA.AA.A00O.01A"	"S01"	"IS06"
"TCGA.AF.2687.01A"	"S01"	"IS06"
"TCGA.AF.6672.01A"	"S01"	"IS06"
"TCGA.AF.A56K.01A"	"S01"	"IS06"
"TCGA.AG.3575.01A"	"S01"	"IS06"
"TCGA.AZ.6599.01A"	"S01"	"IS06"
"TCGA.CA.5254.01A"	"S01"	"IS06"
"TCGA.CA.6718.01A"	"S01"	"IS06"
"TCGA.CM.4748.01A"	"S01"	"IS06"
"TCGA.CM.6679.01A"	"S01"	"IS06"
"TCGA.D5.6929.01A"	"S01"	"IS06"
"TCGA.DM.A28A.01A"	"S01"	"IS06"
"TCGA.EI.6507.01A"	"S01"	"IS06"
"TCGA.F4.6856.01A"	"S01"	"IS06"
"TCGA.G4.6309.01A"	"S01"	"IS06"
"TCGA.G4.6322.01A"	"S01"	"IS06"
"TCGA.NH.A50V.01A"	"S01"	"IS06"
"TCGA.NH.A6GA.01A"	"S01"	"IS06"
"TCGA.A6.5656.01A"	"S02"	"IS04"
"TCGA.CM.6167.01A"	"S02"	"IS04"
"TCGA.EI.6885.01A"	"S02"	"IS04"
"TCGA.F4.6463.01A"	"S02"	"IS04"
"TCGA.G4.6314.01A"	"S02"	"IS04"
"TCGA.5M.AAT6.01A"	"S03"	"IS13"
"TCGA.A6.2674.01A"	"S03"	"IS13"
"TCGA.A6.5657.01A"	"S03"	"IS13"
"TCGA.A6.6780.01A"	"S03"	"IS13"
"TCGA.A6.6782.01A"	"S03"	"IS13"
"TCGA.AA.3522.01A"	"S03"	"IS13"
"TCGA.AA.3977.01A"	"S03"	"IS13"
"TCGA.AA.A00J.01A"	"S03"	"IS13"
"TCGA.AD.6964.01A"	"S03"	"IS13"
"TCGA.AG.3732.01A"	"S03"	"IS13"
"TCGA.AG.3902.01A"	"S03"	"IS13"
"TCGA.AY.4070.01A"	"S03"	"IS13"
"TCGA.AZ.4323.01A"	"S03"	"IS13"
"TCGA.AZ.6598.01A"	"S03"	"IS13"
"TCGA.AZ.6601.01A"	"S03"	"IS13"
"TCGA.BM.6198.01A"	"S03"	"IS13"
"TCGA.CI.6620.01A"	"S03"	"IS13"
"TCGA.CI.6621.01A"	"S03"	"IS13"
"TCGA.D5.5538.01A"	"S03"	"IS13"
"TCGA.D5.5541.01A"	"S03"	"IS13"
"TCGA.D5.6927.01A"	"S03"	"IS13"
"TCGA.D5.6930.01A"	"S03"	"IS13"
"TCGA.DM.A0XF.01A"	"S03"	"IS13"
"TCGA.EI.6511.01A"	"S03"	"IS13"
"TCGA.F4.6461.01A"	"S03"	"IS13"
"TCGA.F4.6806.01A"	"S03"	"IS13"
"TCGA.F4.6809.01A"	"S03"	"IS13"
"TCGA.F5.6811.01A"	"S03"	"IS13"
"TCGA.G4.6311.01A"	"S03"	"IS13"
"TCGA.G4.6323.01A"	"S03"	"IS13"
"TCGA.G5.6233.01A"	"S03"	"IS13"
"TCGA.QG.A5Z2.01A"	"S03"	"IS13"
"TCGA.A6.5664.01A"	"S04"	"IS16"
"TCGA.AA.3811.01A"	"S04"	"IS16"
"TCGA.AD.6901.01A"	"S04"	"IS16"
"TCGA.A6.2677.01A"	"S05"	"IS08"
"TCGA.A6.6651.01A"	"S05"	"IS08"
"TCGA.AA.3970.01A"	"S05"	"IS08"
"TCGA.AM.5821.01A"	"S05"	"IS08"
"TCGA.CM.5349.01A"	"S05"	"IS08"
"TCGA.CM.6680.01A"	"S05"	"IS08"
"TCGA.D5.6898.01A"	"S05"	"IS08"
"TCGA.F4.6460.01A"	"S05"	"IS08"
"TCGA.F4.6704.01A"	"S05"	"IS08"
"TCGA.F5.6812.01A"	"S05"	"IS08"
"TCGA.G4.6299.01A"	"S05"	"IS08"
"TCGA.AZ.6603.01A"	"S06"	"IS07"
"TCGA.A6.2685.01A"	"S07"	"IS12"
"TCGA.A6.2686.01A"	"S07"	"IS12"
"TCGA.A6.4105.01A"	"S07"	"IS12"
"TCGA.AA.3519.01A"	"S07"	"IS12"
"TCGA.AA.3520.01A"	"S07"	"IS12"
"TCGA.AA.3526.01A"	"S07"	"IS12"
"TCGA.AA.3548.01A"	"S07"	"IS12"
"TCGA.AA.3552.01A"	"S07"	"IS12"
"TCGA.AA.3553.01A"	"S07"	"IS12"
"TCGA.AA.3562.01A"	"S07"	"IS12"
"TCGA.AA.3681.01A"	"S07"	"IS12"
"TCGA.AA.3688.01A"	"S07"	"IS12"
"TCGA.AA.3692.01A"	"S07"	"IS12"
"TCGA.AA.3715.01A"	"S07"	"IS12"
"TCGA.AA.3815.01A"	"S07"	"IS12"
"TCGA.AA.3831.01A"	"S07"	"IS12"
"TCGA.AA.3833.01A"	"S07"	"IS12"
"TCGA.AA.3851.01A"	"S07"	"IS12"
"TCGA.AA.3860.01A"	"S07"	"IS12"
"TCGA.AA.3867.01A"	"S07"	"IS12"
"TCGA.AA.3950.01A"	"S07"	"IS12"
"TCGA.AA.3966.01A"	"S07"	"IS12"
"TCGA.AA.3975.01A"	"S07"	"IS12"
"TCGA.AA.3989.01A"	"S07"	"IS12"
"TCGA.AA.A00A.01A"	"S07"	"IS12"
"TCGA.AD.5900.01A"	"S07"	"IS12"
"TCGA.AF.4110.01A"	"S07"	"IS12"
"TCGA.AG.3599.01A"	"S07"	"IS12"
"TCGA.AG.3608.01A"	"S07"	"IS12"
"TCGA.AG.3612.01A"	"S07"	"IS12"
"TCGA.AG.3728.01A"	"S07"	"IS12"
"TCGA.AG.3882.01A"	"S07"	"IS12"
"TCGA.AG.3890.01A"	"S07"	"IS12"
"TCGA.AG.3892.01A"	"S07"	"IS12"
"TCGA.AG.3901.01A"	"S07"	"IS12"
"TCGA.AG.3909.01A"	"S07"	"IS12"
"TCGA.AG.4001.01A"	"S07"	"IS12"
"TCGA.AG.4007.01A"	"S07"	"IS12"
"TCGA.AG.4008.01A"	"S07"	"IS12"
"TCGA.AY.4071.01A"	"S07"	"IS12"
"TCGA.CA.5797.01A"	"S07"	"IS12"
"TCGA.CK.4950.01A"	"S07"	"IS12"
"TCGA.CM.4751.01A"	"S07"	"IS12"
"TCGA.D5.6530.01A"	"S07"	"IS12"
"TCGA.DT.5265.01A"	"S07"	"IS12"
"TCGA.F4.6569.01A"	"S07"	"IS12"
"TCGA.QG.A5YW.01A"	"S07"	"IS12"
"TCGA.AA.3509.01A"	"S08"	"IS14"
"TCGA.AA.3660.01A"	"S08"	"IS14"
"TCGA.AA.3846.01A"	"S08"	"IS14"
"TCGA.AA.3875.01A"	"S08"	"IS14"
"TCGA.AA.3955.01A"	"S08"	"IS14"
"TCGA.AA.A010.01A"	"S08"	"IS14"
"TCGA.AF.2693.01A"	"S08"	"IS14"
"TCGA.AF.6136.01A"	"S08"	"IS14"
"TCGA.CM.6677.01A"	"S08"	"IS14"
"TCGA.DC.4749.01A"	"S08"	"IS14"
"TCGA.DM.A28F.01A"	"S08"	"IS14"
"TCGA.F5.6864.01A"	"S08"	"IS14"
"TCGA.A6.2672.01A"	"S09"	"IS03"
"TCGA.A6.2676.01A"	"S09"	"IS03"
"TCGA.A6.3807.01A"	"S09"	"IS03"
"TCGA.AA.3495.01A"	"S09"	"IS03"
"TCGA.AA.3496.01A"	"S09"	"IS03"
"TCGA.AA.3518.01A"	"S09"	"IS03"
"TCGA.AA.3532.01A"	"S09"	"IS03"
"TCGA.AA.3543.01A"	"S09"	"IS03"
"TCGA.AA.3710.01A"	"S09"	"IS03"
"TCGA.AA.3856.01A"	"S09"	"IS03"
