"ID"	"State"	"InitialState"
"TCGA.A6.2675.01A"	"S01"	"IS07"
"TCGA.A6.2685.01A"	"S01"	"IS07"
"TCGA.A6.3808.01A"	"S01"	"IS07"
"TCGA.A6.5657.01A"	"S01"	"IS07"
"TCGA.A6.6142.01A"	"S01"	"IS07"
"TCGA.A6.6651.01A"	"S01"	"IS07"
"TCGA.A6.6654.01A"	"S01"	"IS07"
"TCGA.A6.6781.01A"	"S01"	"IS07"
"TCGA.A6.A565.01A"	"S01"	"IS07"
"TCGA.A6.A566.01A"	"S01"	"IS07"
"TCGA.AA.3489.01A"	"S01"	"IS07"
"TCGA.AA.A00N.01A"	"S01"	"IS07"
"TCGA.AA.A01C.01A"	"S01"	"IS07"
"TCGA.AA.A01D.01A"	"S01"	"IS07"
"TCGA.AD.6899.01A"	"S01"	"IS07"
"TCGA.AD.6964.01A"	"S01"	"IS07"
"TCGA.AF.2687.01A"	"S01"	"IS07"
"TCGA.AF.2690.01A"	"S01"	"IS07"
"TCGA.AF.6655.01A"	"S01"	"IS07"
"TCGA.AF.A56K.01A"	"S01"	"IS07"
"TCGA.AG.3731.01A"	"S01"	"IS07"
"TCGA.AG.3901.01A"	"S01"	"IS07"
"TCGA.AG.4001.01A"	"S01"	"IS07"
"TCGA.AG.A026.01A"	"S01"	"IS07"
"TCGA.AZ.6600.01A"	"S01"	"IS07"
"TCGA.AZ.6603.01A"	"S01"	"IS07"
"TCGA.AZ.6605.01A"	"S01"	"IS07"
"TCGA.AZ.6607.01A"	"S01"	"IS07"
"TCGA.CI.6621.01A"	"S01"	"IS07"
"TCGA.CK.6748.01A"	"S01"	"IS07"
"TCGA.CK.6751.01A"	"S01"	"IS07"
"TCGA.CM.5344.01A"	"S01"	"IS07"
"TCGA.CM.5348.01A"	"S01"	"IS07"
"TCGA.CM.5349.01A"	"S01"	"IS07"
"TCGA.CM.5860.01A"	"S01"	"IS07"
"TCGA.CM.5863.01A"	"S01"	"IS07"
"TCGA.CM.6162.01A"	"S01"	"IS07"
"TCGA.CM.6167.01A"	"S01"	"IS07"
"TCGA.CM.6168.01A"	"S01"	"IS07"
"TCGA.CM.6169.01A"	"S01"	"IS07"
"TCGA.CM.6679.01A"	"S01"	"IS07"
"TCGA.CM.6680.01A"	"S01"	"IS07"
"TCGA.D5.5539.01A"	"S01"	"IS07"
"TCGA.D5.6529.01A"	"S01"	"IS07"
"TCGA.D5.6534.01A"	"S01"	"IS07"
"TCGA.D5.6541.01A"	"S01"	"IS07"
"TCGA.D5.6922.01A"	"S01"	"IS07"
"TCGA.D5.6923.01A"	"S01"	"IS07"
"TCGA.D5.6924.01A"	"S01"	"IS07"
"TCGA.D5.6929.01A"	"S01"	"IS07"
"TCGA.DC.6681.01A"	"S01"	"IS07"
"TCGA.DT.5265.01A"	"S01"	"IS07"
"TCGA.EI.7004.01A"	"S01"	"IS07"
"TCGA.F4.6459.01A"	"S01"	"IS07"
"TCGA.F4.6460.01A"	"S01"	"IS07"
"TCGA.F4.6463.01A"	"S01"	"IS07"
"TCGA.F4.6569.01A"	"S01"	"IS07"
"TCGA.F4.6703.01A"	"S01"	"IS07"
"TCGA.F4.6704.01A"	"S01"	"IS07"
"TCGA.F4.6805.01A"	"S01"	"IS07"
"TCGA.F4.6807.01A"	"S01"	"IS07"
"TCGA.F4.6854.01A"	"S01"	"IS07"
"TCGA.F4.6855.01A"	"S01"	"IS07"
"TCGA.F5.6464.01A"	"S01"	"IS07"
"TCGA.F5.6465.01A"	"S01"	"IS07"
"TCGA.F5.6702.01A"	"S01"	"IS07"
"TCGA.F5.6811.01A"	"S01"	"IS07"
"TCGA.F5.6812.01A"	"S01"	"IS07"
"TCGA.F5.6863.01A"	"S01"	"IS07"
"TCGA.F5.6864.01A"	"S01"	"IS07"
"TCGA.G4.6297.01A"	"S01"	"IS07"
"TCGA.G4.6310.01A"	"S01"	"IS07"
"TCGA.G4.6314.01A"	"S01"	"IS07"
"TCGA.WS.AB45.01A"	"S01"	"IS07"
"TCGA.3L.AA1B.01A"	"S02"	"IS16"
"TCGA.A6.2684.01A"	"S02"	"IS16"
"TCGA.A6.6141.01A"	"S02"	"IS16"
"TCGA.AA.3680.01A"	"S02"	"IS16"
"TCGA.AF.A56L.01A"	"S02"	"IS16"
"TCGA.AG.4022.01A"	"S02"	"IS16"
"TCGA.CM.6676.01A"	"S02"	"IS16"
"TCGA.D5.6536.01A"	"S02"	"IS16"
"TCGA.D5.6898.01A"	"S02"	"IS16"
"TCGA.D5.6926.01A"	"S02"	"IS16"
"TCGA.DC.6154.01A"	"S02"	"IS16"
"TCGA.EI.6885.01A"	"S02"	"IS16"
"TCGA.G5.6572.01A"	"S02"	"IS16"
"TCGA.G5.6572.02A"	"S02"	"IS16"
"TCGA.A6.5656.01A"	"S03"	"IS01"
"TCGA.AA.3662.01A"	"S03"	"IS01"
"TCGA.AA.3821.01A"	"S03"	"IS01"
"TCGA.AF.6136.01A"	"S03"	"IS01"
"TCGA.AF.A56N.01A"	"S03"	"IS01"
"TCGA.AG.A002.01A"	"S03"	"IS01"
"TCGA.AY.A8YK.01A"	"S03"	"IS01"
"TCGA.CA.6716.01A"	"S03"	"IS01"
"TCGA.CM.4748.01A"	"S03"	"IS01"
"TCGA.DM.A285.01A"	"S03"	"IS01"
"TCGA.F4.6806.01A"	"S03"	"IS01"
"TCGA.NH.A50U.01A"	"S03"	"IS01"
"TCGA.NH.A6GA.01A"	"S03"	"IS01"
"TCGA.QG.A5YW.01A"	"S03"	"IS01"
"TCGA.QG.A5Z2.01A"	"S03"	"IS01"
"TCGA.SS.A7HO.01A"	"S03"	"IS01"
"TCGA.A6.3810.01A"	"S04"	"IS05"
"TCGA.A6.5659.01A"	"S04"	"IS05"
"TCGA.AA.3530.01A"	"S04"	"IS05"
"TCGA.AA.3538.01A"	"S04"	"IS05"
"TCGA.AA.3555.01A"	"S04"	"IS05"
"TCGA.AA.3556.01A"	"S04"	"IS05"
"TCGA.AA.3678.01A"	"S04"	"IS05"
"TCGA.AA.3696.01A"	"S04"	"IS05"
"TCGA.AA.3970.01A"	"S04"	"IS05"
"TCGA.AA.A02W.01A"	"S04"	"IS05"
"TCGA.AD.A5EK.01A"	"S04"	"IS05"
"TCGA.AH.6644.01A"	"S04"	"IS05"
"TCGA.CM.6163.01A"	"S04"	"IS05"
"TCGA.CM.6164.01A"	"S04"	"IS05"
"TCGA.CM.6165.01A"	"S04"	"IS05"
"TCGA.D5.7000.01A"	"S04"	"IS05"
"TCGA.EI.6884.01A"	"S04"	"IS05"
"TCGA.A6.2671.01A"	"S05"	"IS09"
"TCGA.A6.2672.01A"	"S05"	"IS09"
"TCGA.A6.2681.01A"	"S05"	"IS09"
"TCGA.A6.3807.01A"	"S05"	"IS09"
"TCGA.A6.5662.01A"	"S05"	"IS09"
"TCGA.AA.3520.01A"	"S05"	"IS09"
"TCGA.AA.3552.01A"	"S05"	"IS09"
"TCGA.AA.3554.01A"	"S05"	"IS09"
